WKT,name,coordinates,,
"POLYGON ((77.0514179 28.6812406, 77.0165707 28.6821442, 77.0230579 28.6190886, 77.0331859 28.619842, 77.0507812 28.6101223, 77.0772607 28.6114816, 77.1087169 28.6043955, 77.0953633 28.5884305, 77.1439434 28.5854158, 77.1641995 28.5949118, 77.1839405 28.6346952, 77.1771186 28.6616354, 77.1415846 28.6780525, 77.1374194 28.6754363, 77.0514179 28.6812406))",WEST DELHI 2,"77.0514179 28.6812406, 77.0165707 28.6821442, 77.0230579 28.6190886, 77.0331859 28.619842, 77.0507812 28.6101223, 77.0772607 28.6114816, 77.1087169 28.6043955, 77.0953633 28.5884305, 77.1439434 28.5854158, 77.1641995 28.5949118, 77.1839405 28.6346952, 77.1771186 28.6616354, 77.1415846 28.6780525, 77.1374194 28.6754363, 77.0514179 28.6812406",,
"POLYGON ((77.0685405 28.5224445, 77.0975544 28.5143016, 77.1062227 28.5037416, 77.1234722 28.4983094, 77.1656128 28.507285, 77.1736402 28.5237265, 77.1613235 28.5331903, 77.1661283 28.5556007, 77.1797771 28.5731101, 77.1439434 28.5854158, 77.0953633 28.5884305, 77.0757689 28.5636576, 77.0668328 28.5493103, 77.0678539 28.5391849, 77.0685405 28.5224445))",SOUTH DELHI 1,"77.0685405 28.5224445, 77.0975544 28.5143016, 77.1062227 28.5037416, 77.1234722 28.4983094, 77.1656128 28.507285, 77.1736402 28.5237265, 77.1613235 28.5331903, 77.1661283 28.5556007, 77.1797771 28.5731101, 77.1439434 28.5854158, 77.0953633 28.5884305, 77.0757689 28.5636576, 77.0668328 28.5493103, 77.0678539 28.5391849, 77.0685405 28.5224445",,
"POLYGON ((77.1234722 28.4983094, 77.1142129 28.4709566, 77.1231393 28.4614494, 77.1255425 28.4448476, 77.1379022 28.438508, 77.1497468 28.438508, 77.1686296 28.4271864, 77.1665696 28.4160145, 77.1742944 28.4069554, 77.1832208 28.411938, 77.1894006 28.4090693, 77.2156648 28.4090693, 77.2225312 28.4445457, 77.2038201 28.5009815, 77.1873406 28.5135019, 77.1656128 28.507285, 77.1234722 28.4983094))",SOUTH DELHI 2,"77.1234722 28.4983094, 77.1142129 28.4709566, 77.1231393 28.4614494, 77.1255425 28.4448476, 77.1379022 28.438508, 77.1497468 28.438508, 77.1686296 28.4271864, 77.1665696 28.4160145, 77.1742944 28.4069554, 77.1832208 28.411938, 77.1894006 28.4090693, 77.2156648 28.4090693, 77.2225312 28.4445457, 77.2038201 28.5009815, 77.1873406 28.5135019, 77.1656128 28.507285, 77.1234722 28.4983094",,
"POLYGON ((77.1694838 28.5589473, 77.1661283 28.5556007, 77.1647165 28.5461443, 77.1613235 28.5331903, 77.1736402 28.5237265, 77.1656128 28.507285, 77.1873406 28.5135019, 77.2038201 28.5009815, 77.2237288 28.505107, 77.2321402 28.528034, 77.229222 28.5538962, 77.2517096 28.5659581, 77.2562587 28.5713855, 77.2389209 28.5845759, 77.2258743 28.5857822, 77.2131717 28.583973, 77.1996062 28.5819233, 77.1875083 28.5831439, 77.1694838 28.5589473))",SOUTH DELHI 3,"77.1694838 28.5589473, 77.1661283 28.5556007, 77.1647165 28.5461443, 77.1613235 28.5331903, 77.1736402 28.5237265, 77.1656128 28.507285, 77.1873406 28.5135019, 77.2038201 28.5009815, 77.2237288 28.505107, 77.2321402 28.528034, 77.229222 28.5538962, 77.2517096 28.5659581, 77.2562587 28.5713855, 77.2389209 28.5845759, 77.2258743 28.5857822, 77.2131717 28.583973, 77.1996062 28.5819233, 77.1875083 28.5831439, 77.1694838 28.5589473",,
"POLYGON ((77.2360026 28.5875152, 77.2562587 28.5713855, 77.2517096 28.5659581, 77.229222 28.5538962, 77.2321402 28.528034, 77.2237288 28.505107, 77.2038201 28.5009815, 77.2308528 28.4906997, 77.2517955 28.4916049, 77.2957408 28.498243, 77.3046672 28.4919067, 77.3276698 28.4928119, 77.3454778 28.5108161, 77.3166835 28.5443966, 77.3196751 28.5611488, 77.3031957 28.5816517, 77.2834952 28.5891133, 77.2625095 28.6045203, 77.2564261 28.5924747, 77.2360026 28.5875152))",SOUTH DELHI 4,"77.2360026 28.5875152, 77.2562587 28.5713855, 77.2517096 28.5659581, 77.229222 28.5538962, 77.2321402 28.528034, 77.2237288 28.505107, 77.2038201 28.5009815, 77.2308528 28.4906997, 77.2517955 28.4916049, 77.2957408 28.498243, 77.3046672 28.4919067, 77.3276698 28.4928119, 77.3454778 28.5108161, 77.3166835 28.5443966, 77.3196751 28.5611488, 77.3031957 28.5816517, 77.2834952 28.5891133, 77.2625095 28.6045203, 77.2564261 28.5924747, 77.2360026 28.5875152",,
"POLYGON ((76.8734473 28.381473, 76.8779105 28.3616865, 76.9028014 28.3431049, 76.9700926 28.347033, 76.9960135 28.3802648, 76.9814223 28.3971788, 76.9719809 28.4057857, 76.9472616 28.387665, 76.8734473 28.381473))",MANESAR 1,"76.8734473 28.381473, 76.8779105 28.3616865, 76.9028014 28.3431049, 76.9700926 28.347033, 76.9960135 28.3802648, 76.9814223 28.3971788, 76.9719809 28.4057857, 76.9472616 28.387665, 76.8734473 28.381473",,
"POLYGON ((76.9719809 28.4068426, 76.9930143 28.4011038, 76.9890661 28.4320543, 76.9119901 28.4886476, 76.8565435 28.4620903, 76.8739623 28.3828322, 76.9462316 28.3897792, 76.9719809 28.4068426))",MANESAR 2,"76.9719809 28.4068426, 76.9930143 28.4011038, 76.9890661 28.4320543, 76.9119901 28.4886476, 76.8565435 28.4620903, 76.8739623 28.3828322, 76.9462316 28.3897792, 76.9719809 28.4068426",,
"POLYGON ((76.9800247 28.4404204, 76.9890661 28.4320543, 76.9982175 28.380028, 77.06897 28.346, 77.0948624 28.3629639, 77.0662823 28.3764823, 77.0459333 28.4005685, 77.0415569 28.4184558, 77.05222 28.42214, 77.0553357 28.4237561, 77.056735 28.4277877, 77.0335753 28.4451746, 77.0158981 28.4505714, 76.988949 28.4659264, 76.9739282 28.4668318, 76.9678348 28.4562673, 76.9659901 28.4513246, 76.9710119 28.4469856, 76.9800247 28.4404204))",SOHNA RD - DARBARIPUR,"76.9800247 28.4404204, 76.9890661 28.4320543, 76.9982175 28.380028, 77.06897 28.346, 77.0948624 28.3629639, 77.0662823 28.3764823, 77.0459333 28.4005685, 77.0415569 28.4184558, 77.05222 28.42214, 77.0553357 28.4237561, 77.056735 28.4277877, 77.0335753 28.4451746, 77.0158981 28.4505714, 76.988949 28.4659264, 76.9739282 28.4668318, 76.9678348 28.4562673, 76.9659901 28.4513246, 76.9710119 28.4469856, 76.9800247 28.4404204",,
"POLYGON ((77.096327 28.5056105, 77.086702 28.495143, 77.072091 28.479435, 77.06033 28.467693, 77.08005 28.4678, 77.0918706 28.4647793, 77.10579 28.464563, 77.109918 28.471838, 77.1135279 28.4809262, 77.1161123 28.4857617, 77.1169442 28.4887085, 77.1180292 28.4958427, 77.110992 28.49899, 77.096327 28.5056105))",NEW GGN - DLF,"77.096327 28.5056105, 77.086702 28.495143, 77.072091 28.479435, 77.06033 28.467693, 77.08005 28.4678, 77.0918706 28.4647793, 77.10579 28.464563, 77.109918 28.471838, 77.1135279 28.4809262, 77.1161123 28.4857617, 77.1169442 28.4887085, 77.1180292 28.4958427, 77.110992 28.49899, 77.096327 28.5056105",,
"POLYGON ((77.0751053 28.4306494, 77.0911973 28.4304484, 77.0922321 28.4182859, 77.1051627 28.4214494, 77.1165678 28.4296852, 77.1209452 28.437074, 77.1209867 28.4414766, 77.1205713 28.4478781, 77.1168064 28.4479364, 77.1108124 28.4505714, 77.1026943 28.4505234, 77.1000783 28.4528224, 77.0995883 28.4549304, 77.1012773 28.4570864, 77.1038934 28.4583794, 77.1053644 28.4609664, 77.1050914 28.4640804, 77.0992007 28.4644818, 77.0918706 28.4647793, 77.0808363 28.4672328, 77.07334 28.4673097, 77.06033 28.467693, 77.0593542 28.4662563, 77.0582998 28.4650355, 77.0575335 28.4637634, 77.0512608 28.4589921, 77.0479503 28.4558786, 77.0428252 28.4506389, 77.0412202 28.4407954, 77.0491882 28.4346564, 77.0582143 28.4281764, 77.0671693 28.4371054, 77.0751053 28.4306494))",NEW GGN 2,"77.0751053 28.4306494, 77.0911973 28.4304484, 77.0922321 28.4182859, 77.1051627 28.4214494, 77.1165678 28.4296852, 77.1209452 28.437074, 77.1209867 28.4414766, 77.1205713 28.4478781, 77.1168064 28.4479364, 77.1108124 28.4505714, 77.1026943 28.4505234, 77.1000783 28.4528224, 77.0995883 28.4549304, 77.1012773 28.4570864, 77.1038934 28.4583794, 77.1053644 28.4609664, 77.1050914 28.4640804, 77.0992007 28.4644818, 77.0918706 28.4647793, 77.0808363 28.4672328, 77.07334 28.4673097, 77.06033 28.467693, 77.0593542 28.4662563, 77.0582998 28.4650355, 77.0575335 28.4637634, 77.0512608 28.4589921, 77.0479503 28.4558786, 77.0428252 28.4506389, 77.0412202 28.4407954, 77.0491882 28.4346564, 77.0582143 28.4281764, 77.0671693 28.4371054, 77.0751053 28.4306494",,
"GEOMETRYCOLLECTION (POLYGON ((77.1107535 28.398864, 77.1125645 28.3889644, 77.1205521 28.39278, 77.1277833 28.3946961, 77.1269665 28.3990073, 77.1222934 28.398105, 77.1107535 28.398864)), POLYGON ((77.1107535 28.398864, 77.1197875 28.404121, 77.1190235 28.413168, 77.1128385 28.424169, 77.1058492 28.4211474, 77.0929187 28.4179839, 77.0915752 28.4235016, 77.091004 28.4269055, 77.0909865 28.4282512, 77.0913426 28.429521, 77.0756016 28.430151, 77.0678746 28.436065, 77.0645826 28.432667, 77.0622936 28.430654, 77.0602186 28.42864, 77.0587156 28.427508, 77.0528487 28.420712, 77.0418307 28.417125, 77.0423317 28.414734, 77.04662 28.4002665, 77.0553923 28.3914092, 77.0657808 28.3794914, 77.0808675 28.3706218, 77.0962952 28.3644692, 77.1036354 28.37452, 77.108311 28.387432, 77.1045767 28.3939072, 77.1056805 28.393118, 77.1107535 28.398864)))",NEW GGN 1,"77.1107535 28.398864, 77.1197875 28.404121, 77.1190235 28.413168, 77.1128385 28.424169, 77.1058492 28.4211474, 77.0929187 28.4179839, 77.0915752 28.4235016, 77.091004 28.4269055, 77.0909865 28.4282512, 77.0913426 28.429521, 77.0756016 28.430151, 77.0678746 28.436065, 77.0645826 28.432667, 77.0622936 28.430654, 77.0602186 28.42864, 77.0587156 28.427508, 77.0528487 28.420712, 77.0418307 28.417125, 77.0423317 28.414734, 77.04662 28.4002665, 77.0553923 28.3914092, 77.0657808 28.3794914, 77.0808675 28.3706218, 77.0962952 28.3644692, 77.1036354 28.37452, 77.108311 28.387432, 77.1045767 28.3939072, 77.1056805 28.393118, 77.1107535 28.398864",,
"POLYGON ((76.9959031 28.5169549, 76.9778738 28.5198686, 76.9668017 28.5128547, 76.9536697 28.491207, 76.9656859 28.4808718, 76.9952116 28.4711393, 77.0226748 28.4936978, 77.0465381 28.4963365, 77.0655328 28.5106089, 77.0498855 28.525977, 77.024775 28.5328604, 77.0104943 28.537768, 77.0122101 28.5238926, 76.9959031 28.5169549))",OLD GGN - PALAM VIHAR,"76.9959031 28.5169549, 76.9778738 28.5198686, 76.9668017 28.5128547, 76.9536697 28.491207, 76.9656859 28.4808718, 76.9952116 28.4711393, 77.0226748 28.4936978, 77.0465381 28.4963365, 77.0655328 28.5106089, 77.0498855 28.525977, 77.024775 28.5328604, 77.0104943 28.537768, 77.0122101 28.5238926, 76.9959031 28.5169549",,
"POLYGON ((77.0527895 28.5258484, 77.0668657 28.5106143, 77.047983 28.496434, 77.0226748 28.4936978, 76.9952116 28.4711393, 77.0036943 28.4608241, 77.0124491 28.4526744, 77.0335753 28.4451746, 77.0989664 28.5101618, 77.0527895 28.5258484))",OLD GGN - RAJIV NGR,"77.0527895 28.5258484, 77.0668657 28.5106143, 77.047983 28.496434, 77.0226748 28.4936978, 76.9952116 28.4711393, 77.0036943 28.4608241, 77.0124491 28.4526744, 77.0335753 28.4451746, 77.0989664 28.5101618, 77.0527895 28.5258484",,
